RST Digital Inclinometer Data
File Version,2.21
File Type,Digital Inclinometer
Site,rozmarin
Borehole,Borehole15
Probe Serial#,DP22000000,Cal Date (m/d/y),03/11/2019
Reel Serial#,DR26840000
Reading Date(m/d/y),01/21/2025,12:19:50
Depth,-14.0,0.5
Interval,0.5
Depth Units,meters
Reading Units,meters
Operator,Joshua
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,0.01878401,-0.01902087,-0.00403366,0.00393498
-1.0,0.0075709,-0.00772032,0.00225521,-0.00227754
-1.5,0.00262485,-0.00277593,0.00496232,-0.00506516
-2.0,-0.00614357,0.00595616,0.00998464,-0.0101045
-2.5,-0.0068307,0.00671075,0.01019014,-0.01028721
-3.0,-0.00835624,0.00835538,0.01011236,-0.01030069
-3.5,-0.0098771,0.00981266,0.00906855,-0.00921519
-4.0,-0.00984074,0.00981292,0.00868097,-0.00876191
-4.5,-0.00874885,0.00869564,0.00654568,-0.00661486
-5.0,-0.00819391,0.00820766,0.0060466,-0.00617348
-5.5,-0.0067238,0.00690188,0.00542475,-0.00539952
-6.0,-0.00273852,0.00277733,0.00224485,-0.00232541
-6.5,-0.00310801,0.00307312,0.00172726,-0.00181879
-7.0,-0.00383491,0.0038037,0.00148326,-0.00158358
-7.5,-0.00559383,0.00556265,0.00102139,-0.00115237
-8.0,-0.00717031,0.00720036,0.00051397,-0.00066436
-8.5,-0.01077075,0.01071841,-0.00071842,0.00067316
-9.0,-0.01252279,0.01192673,-0.00155749,0.00155763
-9.5,-0.01209001,0.01209895,-0.00117067,0.00099132
-10.0,-0.01117058,0.01122023,-0.0001266,0.00000016
-10.5,-0.00970195,0.0096346,0.00105364,-0.00115451
-11.0,-0.00786681,0.00788142,0.00189758,-0.00199244
-11.5,-0.0068905,0.00679636,0.0020438,-0.00222951
-12.0,-0.0074287,0.00737494,0.00109057,-0.00112779
-12.5,-0.00823349,0.00821997,-0.00060947,0.00045083
-13.0,-0.00860999,0.00857019,-0.00144327,0.00129702
-13.5,-0.00765412,0.00765872,-0.00310392,0.00304076
-14.0,-0.00706635,0.00705319,-0.00378995,0.00387377


